X,Y,OBJECTID,id,ask,bedrooms,title,address,posting_da,created_at,updated_at,source_id,survey_id,XCoord,YCoord,Loc_ID,geog_code
235090.034867315756856,899319.958478326443583,69,13098.00000000000,2900.00000000000,2.00000000000,South End 2 Bed Penthouse With Private Deck & Roof Space,,2015-11-03 20:33:17,2015-11-03 20:58:37.10833,2015-11-03 20:58:37.10833,0.00000000000,18.00000000000,235090.03486700001,899319.95847800002,0,235090.034867_899319.958478
235094.731660691672005,899319.981929196976125,70,13099.00000000000,4100.00000000000,2.00000000000,"Huge 2 Bd on Dartmouth St., 2.5 Bath Best of the South end! Avail now!",,2015-11-03 19:53:43,2015-11-03 20:58:37.114909,2015-11-03 20:58:37.114909,0.00000000000,18.00000000000,235094.73166100000,899319.98192900000,0,235094.731661_899319.981929
247370.779592336213682,913215.523971206857823,71,13113.00000000000,1800.00000000000,2.00000000000,SEASIDE LIVING WITH EASY BOSTON COMMUTE!!,,2015-11-03 19:52:37,2015-11-03 20:58:37.195973,2015-11-03 20:58:37.195973,0.00000000000,18.00000000000,247370.77959200001,913215.52397099999,0,247370.779592_913215.523971
229532.743077387654921,892656.47004661813844,72,13116.00000000000,1900.00000000000,2.00000000000,NOW-12/1-BIG & GORGEOUS GEM 6rm 2bd+DEN BY ROSL SQ-ROCHE BROS!CALL FAY,,2015-10-29 19:21:41,2015-11-03 20:58:42.441171,2015-11-03 20:58:42.441171,0.00000000000,18.00000000000,229532.74307699999,892656.47004699998,0,229532.743077_892656.470047
229972.079557596123777,904858.611813772120513,73,13119.00000000000,2900.00000000000,2.00000000000,2 Bed/2 Bath Brickworks Condo In Cambridge With TWO Garage Parking,,2015-11-03 19:49:00,2015-11-03 20:58:42.458493,2015-11-03 20:58:42.458493,0.00000000000,18.00000000000,229972.07955800000,904858.61181399995,0,229972.079558_904858.611814
232897.965752073505428,902631.475549608585425,74,13121.00000000000,2600.00000000000,2.00000000000,9/1!Excellent 2BD HT Incl!10 min to T!In Unit Laundry!Mod EIK!HWD FL,,2015-10-28 18:37:32,2015-11-03 20:58:47.715662,2015-11-03 20:58:47.715662,0.00000000000,18.00000000000,232897.96575199999,902631.47554999997,0,232897.965752_902631.47555
237687.727230551070534,896482.155501869507134,75,13205.00000000000,2400.00000000000,2.00000000000,Incredible Deal Right By JFK - UMass Boston! Util Incl.,,2015-11-03 19:43:18,2015-11-03 20:59:09.164463,2015-11-03 20:59:09.164463,0.00000000000,18.00000000000,237687.72723100000,896482.15550200001,0,237687.727231_896482.155502
233042.331387640384492,905050.667764993617311,76,13209.00000000000,2200.00000000000,2.00000000000,12/1!Modern/Renovating 2BD!Exposed Brick!Central A/C!2 Parking!,,2015-11-03 19:42:06,2015-11-03 20:59:19.659015,2015-11-03 20:59:19.659015,0.00000000000,18.00000000000,233042.33138799999,905050.66776500002,0,233042.331388_905050.667765
235574.189313418406527,908124.275535369641148,77,13224.00000000000,1450.00000000000,2.00000000000,MALDEN-FIVE ROOM  2 BR APT.,,2015-11-03 19:39:59,2015-11-03 20:59:30.228723,2015-11-03 20:59:30.228723,0.00000000000,18.00000000000,235574.18931300001,908124.27553500002,0,235574.189313_908124.275535
232975.146415315452032,917320.959309185273014,78,13226.00000000000,1665.00000000000,2.00000000000,New Construction 2BR - NOVEMBER Special $200 off first 6 months rent,,2015-11-03 19:37:14,2015-11-03 20:59:30.239322,2015-11-03 20:59:30.239322,0.00000000000,18.00000000000,232975.14641500000,917320.95930900006,0,232975.146415_917320.959309
218991.132515803881688,853379.989560423069634,79,13228.00000000000,1483.00000000000,2.00000000000,Large 2 Bedroom 1.5 Bath Cul-de-Sac Neighborhood Close to Everything,,2015-11-03 19:36:02,2015-11-03 20:59:35.477593,2015-11-03 20:59:35.477593,0.00000000000,18.00000000000,218991.13251600001,853379.98956000002,0,218991.132516_853379.98956
218986.439303108840249,853367.20395614602603,80,13229.00000000000,1455.00000000000,2.00000000000,2 Bed 1.5 bath Townhomes Country Charm/City Convenience,,2015-10-31 19:03:16,2015-11-03 20:59:35.494268,2015-11-03 20:59:35.494268,0.00000000000,18.00000000000,218986.43930299999,853367.20395600004,0,218986.439303_853367.203956
233107.619729945174186,899195.819627562537789,81,13230.00000000000,2600.00000000000,2.00000000000,"Fenway Ã¢Â˜Â… 2 bedroom + HT/HW free, granite kitchen",,2015-11-03 19:42:37,2015-11-03 20:59:40.731439,2015-11-03 20:59:40.731439,0.00000000000,18.00000000000,233107.61973000001,899195.81962800003,0,233107.61973_899195.819628
